iter	Passed	Remaining
0	146	146424
1	148	74201
2	150	50088
3	152	37876
4	153	30628
5	156	25880
6	158	22537
7	161	19991
8	163	18005
9	165	16405
10	167	15097
11	170	14032
12	172	13133
13	175	12340
14	177	11627
15	178	11005
16	181	10480
17	183	9998
18	185	9585
19	187	9177
20	189	8832
21	191	8523
22	193	8220
23	195	7935
24	196	7659
25	198	7423
26	200	7226
27	202	7023
28	204	6835
29	205	6651
30	207	6475
31	208	6302
32	210	6153
33	211	6010
34	214	5905
35	216	5797
36	218	5699
37	221	5595
38	222	5487
39	224	5384
40	225	5285
41	228	5211
42	230	5135
43	232	5059
44	234	4984
45	237	4915
46	238	4841
47	240	4772
48	243	4721
49	245	4667
50	247	4609
51	249	4552
52	251	4494
53	253	4434
54	254	4374
55	257	4335
56	259	4291
57	261	4246
58	263	4200
59	264	4146
60	266	4099
61	267	4049
62	269	4002
63	271	3963
64	273	3929
65	275	3891
66	277	3859
67	278	3821
68	280	3780
69	281	3741
70	283	3706
71	285	3674
72	286	3642
73	288	3608
74	289	3573
75	291	3544
76	293	3513
77	294	3485
78	296	3457
79	297	3425
80	299	3396
81	300	3368
82	301	3335
83	303	3308
84	304	3282
85	306	3259
86	308	3234
87	309	3210
88	311	3186
89	312	3159
90	314	3136
91	316	3121
92	318	3104
93	320	3085
94	321	3064
95	322	3040
96	324	3023
97	326	3006
98	329	3001
99	332	2994
100	334	2974
101	335	2952
102	336	2933
103	338	2914
104	339	2895
105	341	2876
106	342	2859
107	344	2841
108	346	2832
109	348	2820
110	349	2802
111	351	2789
112	353	2775
113	355	2762
114	357	2749
115	359	2739
116	361	2728
117	363	2720
118	365	2704
119	367	2694
120	369	2681
121	370	2664
122	371	2652
123	374	2642
124	377	2639
125	378	2628
126	380	2617
127	382	2607
128	384	2597
129	386	2589
130	388	2578
131	390	2567
132	392	2558
133	394	2549
134	396	2539
135	397	2527
136	399	2516
137	401	2505
138	402	2494
139	403	2481
140	405	2471
141	407	2460
142	409	2453
143	411	2444
144	413	2435
145	414	2426
146	416	2416
147	417	2406
148	419	2396
149	423	2397
150	425	2394
151	428	2388
152	430	2381
153	432	2373
154	433	2362
155	434	2351
156	437	2347
157	439	2340
158	441	2333
159	443	2327
160	444	2316
161	446	2310
162	448	2304
163	451	2300
164	453	2296
165	455	2289
166	457	2281
167	459	2273
168	461	2267
169	463	2260
170	465	2256
171	467	2251
172	469	2245
173	471	2240
174	473	2233
175	475	2227
176	477	2221
177	479	2215
178	482	2213
179	484	2208
180	486	2202
181	488	2195
182	489	2187
183	491	2180
184	493	2174
185	496	2175
186	499	2170
187	501	2165
188	502	2158
189	504	2150
190	505	2142
191	507	2135
192	508	2126
193	511	2124
194	513	2121
195	515	2114
196	517	2108
197	518	2101
198	520	2094
199	522	2088
200	523	2082
201	525	2077
202	527	2072
203	530	2068
204	531	2062
205	533	2057
206	535	2051
207	536	2044
208	538	2038
209	540	2034
210	543	2031
211	544	2025
212	547	2021
213	548	2014
214	550	2008
215	551	2002
216	552	1995
217	554	1988
218	557	1987
219	559	1983
220	561	1979
221	563	1973
222	564	1968
223	566	1961
224	567	1955
225	569	1949
226	571	1947
227	574	1944
228	576	1941
229	578	1937
230	580	1931
231	581	1926
232	583	1919
233	584	1914
234	587	1911
235	589	1907
236	590	1901
237	591	1895
238	593	1889
239	595	1884
240	596	1878
241	598	1873
242	600	1872
243	603	1869
244	605	1865
245	607	1861
246	609	1856
247	610	1851
248	612	1845
249	613	1840
250	616	1839
251	618	1835
252	620	1831
253	621	1826
254	623	1821
255	624	1815
256	625	1809
257	627	1803
258	628	1798
259	631	1796
260	633	1794
261	635	1790
262	637	1785
263	638	1780
264	640	1775
265	642	1771
266	643	1767
267	646	1765
268	648	1761
269	649	1756
270	651	1752
271	653	1749
272	655	1745
273	657	1741
274	658	1736
275	661	1734
276	663	1730
277	664	1726
278	666	1721
279	667	1716
280	669	1711
281	670	1706
282	671	1702
283	673	1697
284	675	1694
285	677	1692
286	679	1688
287	680	1682
288	682	1679
289	684	1675
290	686	1671
291	687	1667
292	689	1663
293	692	1662
294	694	1659
295	695	1655
296	698	1652
297	700	1649
298	701	1645
299	703	1642
300	706	1640
301	708	1638
302	710	1634
303	712	1630
304	714	1628
305	716	1625
306	718	1622
307	721	1620
308	723	1617
309	725	1614
310	727	1611
311	729	1608
312	731	1605
313	732	1601
314	735	1598
315	738	1597
316	740	1594
317	741	1591
318	743	1588
319	745	1584
320	747	1580
321	748	1575
322	750	1572
323	752	1570
324	754	1566
325	756	1563
326	758	1561
327	760	1558
328	762	1555
329	764	1551
330	765	1547
331	767	1544
332	769	1541
333	770	1537
334	772	1533
335	774	1530
336	776	1527
337	778	1524
338	779	1520
339	782	1518
340	783	1514
341	785	1510
342	786	1506
343	787	1502
344	789	1499
345	791	1495
346	792	1491
347	794	1487
348	796	1484
349	798	1482
350	799	1478
351	801	1474
352	802	1470
353	803	1466
354	805	1463
355	806	1459
356	808	1455
357	809	1451
358	812	1450
359	814	1447
360	816	1444
361	818	1442
362	820	1439
363	822	1436
364	823	1433
365	827	1433
366	829	1430
367	831	1427
368	832	1423
369	834	1420
370	836	1417
371	838	1414
372	839	1411
373	841	1409
374	844	1407
375	845	1403
376	847	1400
377	849	1397
378	850	1394
379	852	1390
380	853	1387
381	855	1384
382	858	1382
383	860	1380
384	862	1377
385	864	1374
386	866	1371
387	867	1368
388	869	1365
389	871	1363
390	873	1360
391	875	1357
392	876	1354
393	878	1350
394	879	1347
395	881	1343
396	882	1340
397	883	1337
398	885	1333
399	887	1331
400	889	1328
401	891	1325
402	892	1322
403	894	1319
404	895	1315
405	896	1312
406	898	1309
407	903	1311
408	905	1308
409	907	1306
410	909	1303
411	911	1300
412	912	1297
413	914	1294
414	919	1296
415	921	1293
416	923	1290
417	925	1287
418	926	1284
419	928	1281
420	929	1278
421	932	1276
422	934	1274
423	936	1271
424	938	1269
425	940	1267
426	942	1264
427	944	1262
428	948	1261
429	950	1259
430	952	1257
431	954	1254
432	956	1252
433	958	1249
434	960	1247
435	962	1245
436	964	1243
437	967	1241
438	969	1239
439	971	1236
440	974	1234
441	976	1233
442	979	1231
443	982	1229
444	984	1228
445	986	1225
446	990	1225
447	997	1229
448	999	1227
449	1002	1224
450	1004	1222
451	1009	1223
452	1011	1221
453	1014	1220
454	1017	1218
455	1019	1216
456	1023	1215
457	1026	1214
458	1029	1213
459	1032	1212
460	1036	1212
461	1042	1213
462	1045	1212
463	1049	1212
464	1053	1211
465	1056	1210
466	1059	1209
467	1062	1208
468	1065	1206
469	1071	1208
470	1073	1205
471	1075	1203
472	1077	1200
473	1080	1198
474	1085	1199
475	1087	1197
476	1089	1194
477	1091	1191
478	1092	1188
479	1094	1185
480	1099	1186
481	1101	1183
482	1103	1180
483	1104	1177
484	1106	1174
485	1107	1171
486	1109	1168
487	1114	1169
488	1116	1166
489	1118	1163
490	1119	1160
491	1121	1158
492	1123	1155
493	1125	1152
494	1129	1152
495	1131	1150
496	1134	1147
497	1135	1145
498	1138	1142
499	1140	1140
500	1143	1138
501	1145	1136
502	1147	1133
503	1149	1130
504	1150	1127
505	1151	1124
506	1153	1121
507	1154	1118
508	1156	1115
509	1158	1113
510	1160	1110
511	1161	1107
512	1163	1104
513	1164	1101
514	1165	1097
515	1167	1094
516	1168	1091
517	1169	1088
518	1171	1085
519	1173	1082
520	1175	1080
521	1176	1077
522	1178	1074
523	1179	1071
524	1181	1068
525	1182	1065
526	1183	1062
527	1185	1059
528	1187	1056
529	1189	1054
530	1190	1051
531	1192	1048
532	1193	1045
533	1194	1042
534	1196	1039
535	1197	1037
536	1199	1034
537	1200	1031
538	1202	1028
539	1204	1025
540	1205	1022
541	1207	1020
542	1208	1017
543	1209	1014
544	1211	1011
545	1212	1008
546	1213	1005
547	1215	1002
548	1217	1000
549	1219	997
550	1220	994
551	1222	991
552	1223	989
553	1224	986
554	1226	983
555	1227	980
556	1229	977
557	1231	975
558	1233	972
559	1234	970
560	1236	967
561	1237	964
562	1239	961
563	1240	959
564	1242	956
565	1243	953
566	1246	951
567	1247	949
568	1249	946
569	1250	943
570	1251	940
571	1252	937
572	1253	934
573	1255	931
574	1256	928
575	1257	925
576	1259	923
577	1261	920
578	1263	918
579	1264	915
580	1266	913
581	1267	910
582	1268	907
583	1269	904
584	1271	901
585	1272	899
586	1273	896
587	1275	893
588	1277	891
589	1278	888
590	1280	885
591	1281	883
592	1282	880
593	1283	877
594	1285	874
595	1286	872
596	1287	869
597	1289	866
598	1291	864
599	1293	862
600	1294	859
601	1295	856
602	1296	853
603	1298	851
604	1299	848
605	1300	845
606	1301	842
607	1303	840
608	1304	837
609	1306	835
610	1308	832
611	1309	830
612	1311	827
613	1312	825
614	1313	822
615	1314	819
616	1315	816
617	1316	813
618	1317	810
619	1318	808
620	1320	806
621	1322	803
622	1323	801
623	1325	798
624	1326	795
625	1327	793
626	1329	790
627	1330	787
628	1331	785
629	1332	782
630	1333	779
631	1334	777
632	1336	774
633	1337	772
634	1338	769
635	1339	766
636	1341	764
637	1342	761
638	1343	758
639	1344	756
640	1345	753
641	1346	750
642	1347	748
643	1349	745
644	1351	743
645	1353	741
646	1354	739
647	1355	736
648	1357	734
649	1359	731
650	1360	729
651	1361	726
652	1363	724
653	1365	722
654	1367	720
655	1368	717
656	1369	715
657	1371	712
658	1372	710
659	1374	707
660	1375	705
661	1376	702
662	1378	700
663	1379	698
664	1381	695
665	1382	693
666	1383	690
667	1384	688
668	1385	685
669	1386	683
670	1388	680
671	1389	678
672	1390	675
673	1391	673
674	1392	670
675	1394	668
676	1395	665
